Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1013;19700188119;"Educacion Quimica";journal;"18708404, 0187893X";0,168;Q4;8;0;89;0;32;76;0,40;0,00;Mexico;Latin America;"National Autonomous University of Mexico, Faculty of Chemistry";"2010-2017, 2020";"Chemistry (miscellaneous) (Q4); Education (Q4)"
1014;21100396345;"International Journal of Learning and Change";journal;"17402875, 17402883";0,168;Q4;5;26;53;1177;96;52;1,98;45,27;Switzerland;Western Europe;"Inderscience Publishers";"2015-2020";"Education (Q4); Management of Technology and Innovation (Q4)"
1015;19500157110;"Kuram ve Uygulamada Egitim Bilimleri";journal;"13030485";0,168;Q4;18;26;519;1423;246;518;0,32;54,73;Turkey;Middle East;"Edam Egitim Danismanligi";"2008-2020";"Education (Q4)"
1016;21100837986;"Pegem Egitim ve Ogretim Dergisi";journal;"2148239X, 21460655";0,168;Q4;2;27;72;1744;19;65;0,29;64,59;Turkey;Middle East;"Pegem Akademi Yayincilik Egitim Danismanlik Hizmetleri";"2017-2020";"Education (Q4)"
1017;17600155129;"Resonance";journal;"09718044, 0973712X";0,168;Q4;13;107;318;1046;71;272;0,31;9,78;India;Asiatic Region;"Springer India";"1996, 2009-2020";"Multidisciplinary (Q3); Education (Q4)"
1018;21100202933;"Teaching Statistics";journal;"14679639, 0141982X";0,168;Q4;12;26;73;213;27;58;0,41;8,19;United States;Northern America;"Wiley-Blackwell";"1979-2020";"Education (Q4); Statistics and Probability (Q4)"
1019;15913;"Zeitschrift fur Entwicklungspsychologie und Padagogische Psychologie";journal;"00498637, 21906262";0,168;Q4;22;4;58;288;20;55;0,27;72,00;Germany;Western Europe;"Hogrefe Publishing";"1982, 1996-2019";"Developmental and Educational Psychology (Q4); Education (Q4)"
1020;21100899913;"Espacio, Tiempo y Educacion";journal;"23407263";0,167;Q4;1;30;29;1187;3;27;0,11;39,57;Spain;Western Europe;"FahrenHouse";"2018-2019";"History (Q2); Philosophy (Q2); Sociology and Political Science (Q3); Education (Q4)"
1021;16264;"Journal of Legal Education";journal;"00222208";0,167;Q4;15;20;112;432;30;99;0,21;21,60;United States;Northern America;"Association of American Law Schools";"1988, 1996-2019";"Law (Q3); Education (Q4)"
1022;21100831441;"TEM Journal";journal;"22178309, 22178333";0,167;Q4;5;205;239;3945;171;239;0,72;19,24;Serbia;Eastern Europe;"UIKTEN - Association for Information Communication Technology Education and Science";"2017-2019";"Computer Science (miscellaneous) (Q3); Education (Q4); Information Systems (Q4); Information Systems and Management (Q4); Management of Technology and Innovation (Q4); Strategy and Management (Q4)"
1023;21100898825;"Aloma";journal;"23399694, 11383194";0,166;Q4;2;7;11;234;5;10;0,50;33,43;Spain;Western Europe;"Facultat de Psicologia, Ciencies de l'Educacio i de l'Esport Blanquerna";"2018-2019";"Computer Networks and Communications (Q4); Education (Q4); Physical Therapy, Sports Therapy and Rehabilitation (Q4); Psychology (miscellaneous) (Q4)"
1024;21100942398;"Emerald Emerging Markets Case Studies";journal;"20450621";0,166;Q4;4;103;263;1091;19;263;0,10;10,59;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2011-2020";"Business and International Management (Q3); Economics and Econometrics (Q4); Education (Q4); Finance (Q4); Strategy and Management (Q4)"
1025;21100900141;"Pixel-Bit, Revista de Medios y Educacion";journal;"11338482, 21717966";0,166;Q4;2;20;33;763;16;32;0,50;38,15;Spain;Western Europe;"Universidad de Sevilla";"2018-2020";"Computer Networks and Communications (Q4); Computer Science Applications (Q4); Education (Q4); Information Systems (Q4)"
1026;21100211343;"Hellenic Journal of Psychology";journal;"17901391";0,165;Q4;7;11;48;592;12;48;0,25;53,82;Greece;Western Europe;"";"2011-2019";"Education (Q4); Psychology (miscellaneous) (Q4)"
1027;19900192618;"History of Education and Children's Literature";journal;"19711093, 19711131";0,165;Q4;5;91;191;1017;16;191;0,09;11,18;Italy;Western Europe;"Edizioni Universita Macerata";"2011-2019";"History and Philosophy of Science (Q3); Education (Q4)"
1028;144729;"On the Horizon";journal;"10748121";0,165;Q4;23;32;109;842;67;100;0,71;26,31;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2000-2020";"Education (Q4)"
1029;21100451311;"TECHNE";journal;"22390243";0,165;Q4;6;32;271;471;75;254;0,26;14,72;Italy;Western Europe;"Firenze University Press";"2015-2019";"Architecture (Q2); Building and Construction (Q4); Education (Q4); Health (social science) (Q4)"
1030;21100899503;"Transactional Analysis Journal";journal;"23295244, 03621537";0,165;Q4;1;26;33;772;8;26;0,31;29,69;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2020";"Clinical Psychology (Q4); Decision Sciences (miscellaneous) (Q4); Developmental and Educational Psychology (Q4); Education (Q4); Psychiatry and Mental Health (Q4)"
1031;7200153137;"Zbornik Instituta za Pedagoska Istrazivanja";journal;"05796431";0,165;Q4;6;15;55;602;12;55;0,07;40,13;Serbia;Eastern Europe;"Institute for Educational Research";"2007-2019";"Education (Q4)"
1032;21100786207;"2016 3rd International Conference on Artificial Intelligence and Pattern Recognition, AIPR 2016";conference and proceedings;"-";0,164;-;5;0;31;0;30;30;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Networks and Communications; Education; Information Systems"
1033;21100900271;"Higher Learning Research Communications";journal;"21576254";0,164;Q4;2;11;10;416;3;8;0,38;37,82;United States;Northern America;"Laureate Education, Inc.";"2018-2019";"Education (Q4)"
1034;21100897703;"International Journal of Learning, Teaching and Educational Research";journal;"16942116, 16942493";0,164;Q4;3;172;108;6892;43;108;0,40;40,07;Mauritius;Africa;"Society for Research and Knowledge Management";"2018-2020";"Education (Q4)"
1035;21100790770;"2016 55th Annual Conference of the Society of Instrument and Control Engineers of Japan, SICE 2016";conference and proceedings;"-";0,163;-;5;0;113;0;73;112;0,00;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Computer Science Applications; Education"
1036;21100819038;"Proceedings - 2016 9th International Conference on Developments in eSystems Engineering, DeSE 2016";conference and proceedings;"-";0,162;-;5;0;58;0;55;56;0,98;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Education; Information Systems; Information Systems and Management"
1037;21100202122;"Computer-Supported Collaborative Learning Conference, CSCL";conference and proceedings;"15734552";0,161;-;18;248;231;3321;91;228;0,40;13,39;United States;Northern America;"";"15734552";"Education; Human-Computer Interaction"
1038;21100464750;"English Teaching and Learning";journal;"10237267";0,161;Q4;3;24;46;1196;22;45;0,68;49,83;Taiwan;Asiatic Region;"National Taiwan Normal University";"2015-2020";"Linguistics and Language (Q2); Education (Q4)"
1039;11600153408;"Journal of Medical Licensure and Discipline";journal;"1547481X";0,161;Q4;8;0;17;0;8;10;0,00;0,00;United States;Northern America;"Federation of State Medical Boards";"2008-2017";"LPN and LVN (Q3); Education (Q4); Health Policy (Q4)"
1040;21100888250;"IBIMA Business Review";journal;"19473788";0,160;Q4;3;23;4;740;3;4;0,75;32,17;United States;Northern America;"IBIMA Publishing";"2018-2019";"Business, Management and Accounting (miscellaneous) (Q3); Education (Q4)"
1041;21100790032;"ICSPCC 2016 - IEEE International Conference on Signal Processing, Communications and Computing, Conference Proceedings";conference and proceedings;"-";0,160;-;6;0;157;0;84;156;0,00;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Computer Science Applications; Education; Human-Computer Interaction"
1042;5800215128;"Deutsch als Fremdsprache";journal;"00119741";0,159;Q4;1;21;33;458;4;32;0,13;21,81;Germany;Western Europe;"Langenscheidt";"2013, 2017-2019";"Language and Linguistics (Q2); Linguistics and Language (Q2); Education (Q4)"
1043;21100781490;"Studies About Languages";journal;"16482824, 20297203";0,159;Q4;2;16;48;513;7;48;0,16;32,06;Lithuania;Eastern Europe;"Kaunas University of Technology";"2016-2019";"Archeology (arts and humanities) (Q2); Linguistics and Language (Q2); Education (Q4)"
1044;21100463164;"Curriculum Matters";journal;"22532129, 11771828";0,158;Q4;2;0;16;0;2;15;0,00;0,00;New Zealand;Pacific Region;"New Zealand Council for Educational Research Press";"2015-2017";"Education (Q4)"
1045;21100258757;"Journal of Classroom Interaction";journal;"07494025";0,158;Q4;6;5;25;144;6;25;0,12;28,80;United States;Northern America;"University of Houston";"2009, 2014-2019";"Developmental and Educational Psychology (Q4); Education (Q4)"
1046;18133;"Law Teacher";journal;"03069400, 19430353";0,158;Q4;11;53;108;320;14;84;0,18;6,04;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1967-2020";"Law (Q3); Education (Q4)"
1047;29546;"Australian Journal of Educational and Developmental Psychology";journal;"14465442";0,157;Q4;19;0;2;0;2;2;1,00;0,00;Australia;Pacific Region;"University of Newcastle";"2001-2017";"Developmental and Educational Psychology (Q4); Education (Q4)"
1048;21100894767;"INFORMS Transactions on Education";journal;"15320545";0,157;Q4;3;17;15;339;11;14;0,79;19,94;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"2018-2019";"Education (Q4); Management Information Systems (Q4); Management Science and Operations Research (Q4)"
1049;21100937443;"International Journal of Language Testing";journal;"24765880";0,157;Q4;2;1;21;101;6;21;0,21;101,00;Iran;Middle East;"Tabaran Institute of Higher Education (Iran Ministry of Sciences)";"2016-2019";"Language and Linguistics (Q2); Linguistics and Language (Q2); Education (Q4)"
1050;21100207204;"Journal of Research in Education Sciences";journal;"2073753X";0,157;Q4;6;35;95;1906;24;94;0,23;54,46;Taiwan;Asiatic Region;"National Taiwan Normal University";"2009-2019";"Education (Q4)"
1051;21100897139;"Nordic Studies in Science Education";journal;"18941257";0,157;Q4;2;31;32;1356;15;28;0,54;43,74;Sweden;Western Europe;"University of Oslo";"2018-2019";"Education (Q4)"
1052;21100293216;"Recherche et Formation";journal;"09881824";0,157;Q4;5;10;48;264;4;44;0,00;26,40;France;Western Europe;"Institut National de Recherche Pedagogique";"2011-2019";"Education (Q4)"
1053;19400158636;"Sociologija i Prostor";journal;"18465226";0,157;Q4;7;12;52;369;15;46;0,27;30,75;Croatia;Eastern Europe;"Institute for Social Research in Zagreb";"2009-2019";"Sociology and Political Science (Q3); Urban Studies (Q3); Education (Q4); Geography, Planning and Development (Q4)"
1054;19400158569;"KEDI Journal of Educational Policy";journal;"17394341";0,156;Q4;9;13;41;740;10;41;0,14;56,92;South Korea;Asiatic Region;"Korean Educational Development Institute (KEDI)";"2008-2019";"Education (Q4)"
1055;21100206246;"Orientation Scolaire et Professionnelle";journal;"02496739, 21043795";0,156;Q4;4;11;73;296;11;66;0,18;26,91;France;Western Europe;"Delachaux et Niestle";"2011-2019";"Developmental and Educational Psychology (Q4); Education (Q4); Social Psychology (Q4)"
1056;21100775661;"Physical Culture and Sport, Studies and Research";journal;"20812221, 18994849";0,156;Q4;3;25;85;1061;33;84;0,41;42,44;Germany;Western Europe;"De Gruyter Open Ltd.";"2016-2020";"Cultural Studies (Q2); Applied Psychology (Q4); Education (Q4); Tourism, Leisure and Hospitality Management (Q4)"
1057;21100814517;"Space and Culture, India";journal;"20528396";0,156;Q4;7;62;90;2105;55;78;0,81;33,95;United Kingdom;Western Europe;"ACCB Publishing";"2013-2019";"Cultural Studies (Q2); Arts and Humanities (miscellaneous) (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Gender Studies (Q3); Sociology and Political Science (Q3); Development (Q4); Education (Q4)"
1058;21100829150;"Taiwan Journal of TESOL";journal;"18149448, 20767617";0,156;Q4;2;7;18;357;7;16;0,44;51,00;Taiwan;Asiatic Region;"Crane Publishing Co.";"2017-2019";"Language and Linguistics (Q2); Linguistics and Language (Q2); Education (Q4)"
1059;21100920046;"LUMAT";journal;"23237112";0,155;Q4;1;20;26;650;8;26;0,35;32,50;Finland;Western Europe;"University of Helsinki";"2016-2019";"Education (Q4)"
1060;4700151735;"YC Young Children";journal;"15386619";0,155;Q4;15;0;51;0;12;42;0,00;0,00;United States;Northern America;"National Association for the Education of Young Children";"2006-2016";"Education (Q4)"
1061;21100461423;"Advances in Race and Ethnicity in Education";book series;"20512325, 20512317";0,154;Q4;4;0;45;0;6;19;0,42;0,00;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2013-2014, 2016-2017";"Anthropology (Q3); Gender Studies (Q3); Sociology and Political Science (Q3); Education (Q4)"
1062;21100827444;"Asia Pacific Media Educator";journal;"23215410, 1326365X";0,154;Q4;6;23;66;574;34;47;0,79;24,96;India;Asiatic Region;"Sage Publications India Pvt. Ltd";"2014-2019";"Communication (Q3); Education (Q4)"
1063;21100896490;"ETS Research Report Series";journal;"23308516";0,154;Q4;2;45;47;2714;14;47;0,30;60,31;United States;Northern America;"John Wiley and Sons Inc.";"2018-2020";"Applied Psychology (Q4); Education (Q4); Social Psychology (Q4); Statistics, Probability and Uncertainty (Q4)"
1064;21100913652;"IAFOR Journal of Education";journal;"21870594";0,154;Q4;2;11;16;418;10;16;0,63;38,00;Japan;Asiatic Region;"The International Academic Forum (IAFOR)";"2018-2020";"Education (Q4); Public Administration (Q4)"
1065;4100151515;"International Perspectives on Education and Society";book series;"14793679";0,154;Q4;14;50;118;2365;57;69;2,00;47,30;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2002, 2005-2019";"Sociology and Political Science (Q3); Education (Q4)"
1066;21100901213;"Waikato Journal of Education";journal;"23820373";0,154;Q4;1;13;19;530;2;17;0,12;40,77;New Zealand;Pacific Region;"Wilf Malcolm Institute of Educational Research";"2018-2019";"Education (Q4)"
1067;21100463861;"HSE Social and Education History";journal;"20143567";0,153;Q4;3;16;42;707;15;40;0,21;44,19;Spain;Western Europe;"Hipatia Press";"2016-2019";"History (Q2); Social Sciences (miscellaneous) (Q3); Education (Q4)"
1068;21100258613;"International Journal of Literacies";journal;"23270136, 2327266X";0,153;Q4;2;6;24;248;4;24;0,08;41,33;United States;Northern America;"Common Ground Research Networks";"2012-2019";"Education (Q4)"
1069;21100782649;"International Topical Meeting on Advances in Thermal Hydraulics 2016, ATH 2016";conference and proceedings;"-";0,153;-;3;0;49;0;8;47;0,00;0,00;United States;Northern America;"";"";"Education; Electrical and Electronic Engineering"
1070;21100855411;"Journal for Social Action in Counseling and Psychology";journal;"21598142";0,153;Q4;1;4;11;162;3;11;0,27;40,50;United States;Northern America;"Ball State University Center for Peace and Conflict Studies";"2017-2019";"Sociology and Political Science (Q3); Clinical Psychology (Q4); Education (Q4); Social Psychology (Q4)"
1071;23587;"Journal of Real Estate Practice and Education (discontinued)";journal;"15214842";0,153;Q4;12;0;10;0;5;10;0,00;0,00;United States;Northern America;"American Real Estate Society";"2003-2016";"Economics, Econometrics and Finance (miscellaneous) (Q3); Education (Q4)"
1072;21100307487;"Proceedings of the European Conference on e-Learning, ECEL";conference and proceedings;"20488645";0,153;-;6;93;274;2200;65;269;0,25;23,66;United Kingdom;Western Europe;"";"20488645";"Computer Science (miscellaneous); Education; E-learning"
1073;21100293202;"Proceedings of the European Conference on Games-based Learning";conference and proceedings;"20490992";0,153;-;13;128;246;3168;90;243;0,28;24,75;Germany;Western Europe;"";"20490992";"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Computer Networks and Communications; Control and Systems Engineering; Education; E-learning; Human-Computer Interaction; Software"
1074;21100874216;"Revista Mexicana de Fisica E";journal;"18703542";0,153;Q4;8;29;59;581;14;59;0,26;20,03;Mexico;Latin America;"Sociedad Mexicana de Fisica";"2006-2019";"Education (Q4); Physics and Astronomy (miscellaneous) (Q4)"
1075;19700172901;"Cadmo";journal;"19725019, 11225165";0,152;Q4;5;8;58;122;17;54;0,44;15,25;Italy;Western Europe;"FrancoAngeli Edizioni";"2005-2019";"Education (Q4)"
1076;21100220499;"Field Actions Science Report";journal;"1867139X, 18678521";0,152;Q4;6;43;58;167;17;49;0,28;3,88;France;Western Europe;"Institut Veolia Environnement";"2012-2019";"Sociology and Political Science (Q3); Development (Q4); Education (Q4); Geography, Planning and Development (Q4); Health (social science) (Q4)"
1077;18300156722;"Carrefours de l'Education";journal;"12623490";0,151;Q4;6;26;80;792;8;71;0,05;30,46;France;Western Europe;"Universite de Picardie (Jules Verne)";"2001-2007, 2009-2019";"Education (Q4)"
1078;21100200201;"Journal of Educational Media, Memory, and Society";journal;"20416946, 20416938";0,151;Q4;7;13;42;118;6;39;0,20;9,08;United States;Northern America;"Berghahn Journals";"2009-2019";"Education (Q4)"
1079;21100873638;"Philologia Estonica Tallinnensis";journal;"25046624, 25046616";0,151;Q4;2;0;27;0;6;25;0,06;0,00;Estonia;Eastern Europe;"Tallinn University";"2016-2018";"Literature and Literary Theory (Q1); Language and Linguistics (Q2); Linguistics and Language (Q2); Education (Q4)"
1080;21100786193;"International Conference on Nuclear Engineering, Proceedings, ICONE";conference and proceedings;"-";0,150;-;5;0;683;0;114;675;0,15;0,00;United States;Northern America;"";"";"Computational Theory and Mathematics; Computer Networks and Communications; Computer Science Applications; Education; Human-Computer Interaction"
1081;16200154727;"Revue Francaise de Pedagogie";journal;"05567807";0,150;Q4;15;7;113;316;23;110;0,00;45,14;France;Western Europe;"Institut National de Recherche Pedagogique";"2002-2020";"Arts and Humanities (miscellaneous) (Q3); Education (Q4)"
1082;5800207863;"Eesti Rakenduslingvistika Uhingu Aastaraamat";journal;"17362563";0,149;Q4;7;9;46;330;18;46;0,48;36,67;Estonia;Eastern Europe;"Estonian Association Applied Linguists";"2005-2019";"Language and Linguistics (Q2); Linguistics and Language (Q2); Education (Q4)"
1083;21100834525;"Gruppe. Interaktion. Organisation. Zeitschrift fur Angewandte Organisationspsychologie";journal;"23666145, 23666218";0,149;Q4;11;46;126;1322;28;110;0,23;28,74;Germany;Western Europe;"Springer Fachmedien Wiesbaden GmbH";"2016-2020";"Applied Psychology (Q4); Developmental and Educational Psychology (Q4); Education (Q4); Organizational Behavior and Human Resource Management (Q4); Social Psychology (Q4)"
1084;21100239819;"Historia da Educacao";journal;"14143518, 22363459";0,149;Q4;3;38;185;1293;13;173;0,04;34,03;Brazil;Latin America;"Universidade Federal de Santa Maria";"2013-2019";"Education (Q4)"
1085;19700177120;"Journal of the Australian and New Zealand Student Services Association";journal;"13202480";0,149;Q4;6;6;40;79;12;37;0,20;13,17;Australia;Pacific Region;"Australian and New Zealand Student Services Association";"2009-2013, 2016-2019";"Education (Q4)"
1086;21100894548;"Global Studies of Childhood";journal;"20436106";0,148;Q4;2;46;32;1907;10;28;0,36;41,46;United Kingdom;Western Europe;"SAGE Publications Ltd";"2018-2020";"Sociology and Political Science (Q3); Demography (Q4); Development (Q4); Developmental and Educational Psychology (Q4); Education (Q4)"
1087;66262;"International Journal of Continuing Engineering Education and Life-Long Learning";journal;"15604624, 17415055";0,148;Q4;19;25;78;541;33;73;0,37;21,64;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"1986, 1988, 1990-2019";"Engineering (miscellaneous) (Q3); Education (Q4); E-learning (Q4)"
1088;21100902608;"Turkish Journal of Computer and Mathematics Education";journal;"13094653";0,148;Q4;2;29;27;1379;8;25;0,32;47,55;Turkey;Middle East;"Karadeniz Technical University";"2018-2019";"Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Education (Q4); Mathematics (miscellaneous) (Q4)"
1089;5800207558;"International Journal of English Studies";journal;"15787044";0,147;Q4;7;8;33;372;24;33;0,65;46,50;Spain;Western Europe;"Universidad de Murcia";"2013-2019";"Literature and Literary Theory (Q1); Cultural Studies (Q2); Language and Linguistics (Q2); Linguistics and Language (Q2); Education (Q4)"
1090;21100820896;"Journal of Advanced Pharmacy Education and Research";journal;"22493379";0,145;Q4;4;51;176;1150;75;176;0,43;22,55;India;Asiatic Region;"Society of Pharmaceutical Education &amp; Research [SPER]";"2015, 2017-2020";"Pharmaceutical Science (Q3); Pharmacy (Q3); Education (Q4)"
1091;27358;"New Review of Information Networking";journal;"13614576, 17407869";0,145;Q4;13;8;28;370;15;26;0,87;46,25;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2008, 2010-2019";"Computer Networks and Communications (Q4); Education (Q4); Human-Computer Interaction (Q4); Information Systems (Q4)"
1092;15321;"Paedagogica Historica";journal;"1477674X, 00309230";0,145;Q4;16;87;155;402;49;147;0,37;4,62;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1961-1985, 1990-1999, 2001-2004, 2006-2020";"History (Q2); Education (Q4)"
1093;21100457322;"2016 Joint International EUROSOI Workshop and International Conference on Ultimate Integration on Silicon, EUROSOI-ULIS 2016";conference and proceedings;"-";0,144;-;6;0;66;0;23;65;0,00;0,00;United States;Northern America;"";"";"Computer Science Applications; Education; Media Technology"
1094;16800154746;"Histoire de l'Education";journal;"02216280";0,144;Q4;5;0;42;0;5;42;0,03;0,00;France;Western Europe;"Institut National de Recherche Pedagogique";"2001-2018, 2020";"History and Philosophy of Science (Q3); Education (Q4)"
1095;21100200659;"International Journal of Virtual and Personal Learning Environments";journal;"19478526, 19478518";0,144;Q4;10;8;18;324;9;18;0,57;40,50;United States;Northern America;"IGI Global Publishing";"2010-2020";"Computer Science Applications (Q4); Education (Q4); E-learning (Q4)"
1096;20000195049;"Magis";journal;"20271174, 20271182";0,144;Q4;7;25;65;1130;20;62;0,36;45,20;Colombia;Latin America;"Pontificia Universidad Javeriana";"2008-2020";"Education (Q4)"
1097;21100899302;"Qualitative Research in Education";journal;"20146418";0,144;Q4;1;13;12;665;7;12;0,58;51,15;Spain;Western Europe;"Hipatia Press";"2018-2020";"Arts and Humanities (miscellaneous) (Q3); Developmental and Educational Psychology (Q4); Education (Q4)"
1098;4100151504;"Advances in Education in Diverse Communities: Research, Policy and Praxis";book series;"1479358X";0,143;Q4;6;0;35;0;9;20;0,45;0,00;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2000, 2002, 2004, 2006, 2008, 2012, 2014-2015, 2017";"Anthropology (Q3); Education (Q4)"
1099;21100789024;"Journal of Adult Theological Education";journal;"17431654, 17407141";0,143;Q4;2;0;13;0;8;11;0,00;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2016";"Religious Studies (Q2); Education (Q4)"
1100;21100208309;"Talent Development and Excellence";journal;"18692885, 18690459";0,143;Q4;15;6;14;51;2;14;0,18;8,50;Saudi Arabia;Middle East;"International Research Association for Talent Development and Excellence (IRATDE)";"2009-2019";"Developmental and Educational Psychology (Q4); Education (Q4)"
1101;21100455722;"15th International Conference on Advances in ICT for Emerging Regions, ICTer 2015 - Conference Proceedings";conference and proceedings;"-";0,142;-;4;0;62;0;20;59;0,00;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Computer Science Applications; Education"
1102;19700169822;"Ikala";journal;"01233432";0,142;Q4;4;33;79;1534;17;76;0,25;46,48;Colombia;Latin America;"Publishing University of Antioquia";"2013-2020";"Language and Linguistics (Q2); Linguistics and Language (Q3); Education (Q4)"
1103;21100265696;"International Journal of Euro-Mediterranean Studies";journal;"22326022, 18553362";0,142;Q4;4;6;27;332;4;13;0,31;55,33;Slovenia;Eastern Europe;"EMUNI Press";"2012-2015, 2017-2019";"History (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3); Economics and Econometrics (Q4); Education (Q4)"
1104;21100457354;"ICIIBMS 2015 - International Conference on Intelligent Informatics and Biomedical Sciences";conference and proceedings;"-";0,141;-;7;0;93;0;56;92;0,00;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Computer Science Applications; Education; Hardware and Architecture; Information Systems"
1105;21100456807;"ICORES 2016 - Proceedings of the 5th International Conference on Operations Research and Enterprise Systems";conference and proceedings;"-";0,141;-;4;0;54;0;17;52;0,00;0,00;Portugal;Western Europe;"";"";"Computer Science Applications; Education; Health Informatics; Medicine (miscellaneous)"
1106;21100899301;"International Journal of Sociology of Education";journal;"20143575";0,141;Q4;2;11;12;484;7;12;0,58;44,00;Spain;Western Europe;"Hipatia Press";"2018-2020";"Social Sciences (miscellaneous) (Q3); Education (Q4)"
1107;21100325138;"Proceedings of the International Conference on e-Learning, ICEL";conference and proceedings;"20488890";0,141;-;7;0;152;0;40;146;0,27;0,00;United Kingdom;Western Europe;"";"20488890";"Computer Science Applications; Computer Science (miscellaneous); Education; E-learning; Information Systems"
1108;27710;"Teaching Philosophy";journal;"21536619, 01455788";0,141;Q4;14;6;57;164;8;57;0,13;27,33;United States;Northern America;"Philosophy Documentation Center";"1977, 1996-2020";"Philosophy (Q2); Education (Q4)"
1109;21100790078;"13th HONET-ICT International Symposium on Smart MicroGrids for Sustainable Energy Sources Enabled by Photonics and IoT Sensors, HONET-ICT 2016";conference and proceedings;"-";0,140;-;4;0;34;0;26;32;0,00;0,00;United States;Northern America;"";"";"Computer Science Applications; Education; Human-Computer Interaction"
1110;21100455718;"APWiMob 2015 - IEEE Asia Pacific Conference on Wireless and Mobile";conference and proceedings;"-";0,140;-;5;0;54;0;29;53;0,00;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Education"
1111;21100898040;"Childhood Education";journal;"00094056, 21620725";0,140;Q4;22;63;236;114;73;185;0,35;1,81;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2020";"Developmental and Educational Psychology (Q4); Education (Q4); Management of Technology and Innovation (Q4)"
1112;21100857102;"Ethics and Bioethics (in Central Europe)";journal;"13385615, 24537829";0,140;Q4;2;23;36;513;28;35;0,80;22,30;Germany;Western Europe;"De Gruyter Open Ltd.";"2017-2019";"Philosophy (Q2); Education (Q4); Health Policy (Q4)"
1113;21100246541;"International Journal on Advances in Life Sciences (discontinued)";journal;"19422660";0,140;Q4;7;0;16;0;10;16;0,00;0,00;United States;Northern America;"";"2010, 2013-2016";"Biotechnology (Q4); Computer Science (miscellaneous) (Q4); Education (Q4)"
1114;16838;"Journal of Undergraduate Neuroscience Education (discontinued)";journal;"15442896";0,140;Q4;15;0;35;0;11;30;0,00;0,00;United States;Northern America;"Davison College";"2002-2016";"Education (Q4); Neuroscience (miscellaneous) (Q4)"
1115;21100370014;"Second Language Learning and Teaching";book series;"21937648";0,140;Q4;7;123;138;4220;26;11;2,36;34,31;United States;Northern America;"Springer Science + Business Media";"2011-2015, 2017-2019";"Language and Linguistics (Q3); Linguistics and Language (Q3); Education (Q4)"
1116;21100461419;"ASME 2016 5th International Conference on Micro/Nanoscale Heat and Mass Transfer, MNHMT 2016";conference and proceedings;"-";0,139;-;4;0;139;0;23;137;0,00;0,00;United States;Northern America;"";"";"Computer Science (miscellaneous); Education"
1117;3100147503;"Bioscene";journal;"15392422";0,139;Q4;6;8;28;274;6;28;0,06;34,25;United States;Northern America;"Association of College and Univesity Biology Educators";"2004-2019";"Agricultural and Biological Sciences (miscellaneous) (Q4); Education (Q4)"
1118;21100847479;"Contemporary Education Dialogue";journal;"09731849, 22495320";0,139;Q4;4;1;43;35;12;28;0,32;35,00;India;Asiatic Region;"Sage Publications India Pvt. Ltd";"2003, 2015-2020";"Education (Q4)"
1119;21100305345;"Encyclopaideia";journal;"18258670, 1590492X";0,139;Q4;3;1;65;70;22;58;0,59;70,00;Italy;Western Europe;"Bononia University Press";"2013-2019";"Education (Q4); E-learning (Q4)"
1120;21100898955;"Praxis Educativa";journal;"18094031, 18094309";0,139;Q4;2;63;57;2172;4;54;0,07;34,48;Brazil;Latin America;"Universidade Estadual de Ponta Grossa";"2018-2019";"Social Sciences (miscellaneous) (Q3); Education (Q4)"
1121;16633;"Russian Education and Society";journal;"15580423, 10609393";0,139;Q4;7;0;114;0;23;114;0,11;0,00;United States;Northern America;"M.E. Sharpe Inc.";"1965, 1975, 1986-1987, 1990, 1992-2018";"Sociology and Political Science (Q3); Education (Q4)"
